model,fpr,tpr,auc
LogisticRegression,0.014533965244865719,0.27365356622998543,0.9471490166049242
LogisticRegression,0.014533965244865719,0.2858806404657933,0.9471490166049242
LogisticRegression,0.014849921011058451,0.2858806404657933,0.9471490166049242
LogisticRegression,0.014849921011058451,0.2867540029112082,0.9471490166049242
LogisticRegression,0.015165876777251185,0.2867540029112082,0.9471490166049242
LogisticRegression,0.015165876777251185,0.28908296943231443,0.9471490166049242
LogisticRegression,0.015481832543443918,0.28908296943231443,0.9471490166049242
LogisticRegression,0.015481832543443918,0.30131004366812225,0.9471490166049242
LogisticRegression,0.01579778830963665,0.30131004366812225,0.9471490166049242
LogisticRegression,0.01579778830963665,0.30189228529839884,0.9471490166049242
LogisticRegression,0.016113744075829384,0.30189228529839884,0.9471490166049242
LogisticRegression,0.016113744075829384,0.3286754002911208,0.9471490166049242
LogisticRegression,0.016429699842022118,0.3286754002911208,0.9471490166049242
LogisticRegression,0.016429699842022118,0.3318777292576419,0.9471490166049242
LogisticRegression,0.016745655608214848,0.3318777292576419,0.9471490166049242
LogisticRegression,0.016745655608214848,0.33566229985443957,0.9471490166049242
LogisticRegression,0.017061611374407582,0.33566229985443957,0.9471490166049242
LogisticRegression,0.017061611374407582,0.34381368267831147,0.9471490166049242
LogisticRegression,0.017377567140600316,0.34381368267831147,0.9471490166049242
LogisticRegression,0.017377567140600316,0.3470160116448326,0.9471490166049242
LogisticRegression,0.01769352290679305,0.3470160116448326,0.9471490166049242
LogisticRegression,0.01769352290679305,0.350509461426492,0.9471490166049242
LogisticRegression,0.01800947867298578,0.350509461426492,0.9471490166049242
LogisticRegression,0.01800947867298578,0.3522561863173217,0.9471490166049242
LogisticRegression,0.018325434439178515,0.3522561863173217,0.9471490166049242
LogisticRegression,0.018325434439178515,0.3551673944687045,0.9471490166049242
LogisticRegression,0.01864139020537125,0.3551673944687045,0.9471490166049242
LogisticRegression,0.01864139020537125,0.3563318777292576,0.9471490166049242
LogisticRegression,0.018957345971563982,0.3563318777292576,0.9471490166049242
LogisticRegression,0.018957345971563982,0.3650655021834061,0.9471490166049242
LogisticRegression,0.019273301737756713,0.3650655021834061,0.9471490166049242
LogisticRegression,0.019273301737756713,0.3787481804949054,0.9471490166049242
LogisticRegression,0.019589257503949447,0.3787481804949054,0.9471490166049242
LogisticRegression,0.019589257503949447,0.3799126637554585,0.9471490166049242
LogisticRegression,0.01990521327014218,0.3799126637554585,0.9471490166049242
LogisticRegression,0.01990521327014218,0.3802037845705968,0.9471490166049242
LogisticRegression,0.02022116903633491,0.3802037845705968,0.9471490166049242
LogisticRegression,0.02022116903633491,0.39039301310043667,0.9471490166049242
LogisticRegression,0.020537124802527645,0.39039301310043667,0.9471490166049242
LogisticRegression,0.020537124802527645,0.4034934497816594,0.9471490166049242
LogisticRegression,0.02085308056872038,0.4034934497816594,0.9471490166049242
LogisticRegression,0.02085308056872038,0.4081513828238719,0.9471490166049242
LogisticRegression,0.021169036334913113,0.4081513828238719,0.9471490166049242
LogisticRegression,0.021169036334913113,0.4171761280931587,0.9471490166049242
LogisticRegression,0.021484992101105844,0.4171761280931587,0.9471490166049242
